Metro Area,FIPS,Population
"New York-Newark-Jersey City, NY-NJ",35620,19756722
"Los Angeles-Long Beach-Anaheim, CA",31080,13012469
"Chicago-Naperville-Elgin, IL-IN",16980,9359555
"Dallas-Fort Worth-Arlington, TX",19100,7807555
"Houston-Pasadena-The Woodlands, TX",26420,7274714
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,6263796
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,6241882
"Atlanta-Sandy Springs-Roswell, GA",12060,6176937
"Miami-Fort Lauderdale-West Palm Beach, FL",33100,6138876
"Phoenix-Mesa-Chandler, AZ",38060,4941206
"Boston-Cambridge-Newton, MA-NH",14460,4917661
"San Francisco-Oakland-Fremont, CA",41860,4653593
"Riverside-San Bernardino-Ontario, CA",40140,4637725
"Detroit-Warren-Dearborn, MI",19820,4367620
"Seattle-Tacoma-Bellevue, WA",42660,4021467
"Minneapolis-St. Paul-Bloomington, MN-WI",33460,3693351
"San Diego-Chula Vista-Carlsbad, CA",41740,3282782
"Tampa-St. Petersburg-Clearwater, FL",45300,3240469
"Denver-Aurora-Centennial, CO",19740,2977085
"Baltimore-Columbia-Towson, MD",12580,2839409
"St. Louis, MO-IL",41180,2809414
"Orlando-Kissimmee-Sanford, FL",36740,2721022
"Charlotte-Concord-Gastonia, NC-SC",16740,2712818
"San Antonio-New Braunfels, TX",41700,2612802
"Portland-Vancouver-Hillsboro, OR-WA",38900,2510529
"Pittsburgh, PA",38300,2443921
"Sacramento-Roseville-Folsom, CA",40900,2406563
"Austin-Round Rock-San Marcos, TX",12420,2357497
"Las Vegas-Henderson-North Las Vegas, NV",29820,2293764
"Cincinnati, OH-KY-IN",17140,2255257
"Kansas City, MO-KS",28140,2202006
"Cleveland, OH",17410,2171978
"Columbus, OH",18140,2151847
"Indianapolis-Carmel-Greenwood, IN",26900,2106327
"San Juan-Bayamón-Caguas, PR",41980,2063795
"Nashville-Davidson--Murfreesboro--Franklin, TN",34980,2043713
"San Jose-Sunnyvale-Santa Clara, CA",41940,1969353
"Virginia Beach-Chesapeake-Norfolk, VA-NC",47260,1782590
"Providence-Warwick, RI-MA",39300,1673807
"Jacksonville, FL",27260,1645707
"Milwaukee-Waukesha, WI",33340,1566361
"Raleigh-Cary, NC",39580,1449594
"Oklahoma City, OK",36420,1445122
"Louisville/Jefferson County, KY-IN",31140,1361847
"Memphis, TN-MS-AR",32820,1341606
"Richmond, VA",40060,1327321
"Salt Lake City-Murray, UT",41620,1261337
"Birmingham, AL",13820,1181432
"Fresno, CA",23420,1170942
"Buffalo-Cheektowaga, NY",15380,1161385
