YEAR,SAMPLE,SERIAL,CBSERIAL,HHWT,CLUSTER,STATEFIP,COUNTYFIP,STRATA,GQ,RENTGRS,RENTGRS_CPIU_2010
2023,202301,897328,2023000000170,85,2023008973281,36,47,430536,1,270,192
2023,202301,897332,2023000000261,95,2023008973321,36,81,441336,1,417,296
2023,202301,897332,2023000000261,95,2023008973321,36,81,441336,1,417,296
2023,202301,897332,2023000000261,95,2023008973321,36,81,441336,1,417,296
2023,202301,897332,2023000000261,95,2023008973321,36,81,441336,1,417,296
2023,202301,897335,2023000000297,365,2023008973351,36,61,410336,1,1300,923
2023,202301,897335,2023000000297,365,2023008973351,36,61,410336,1,1300,923
2023,202301,897335,2023000000297,365,2023008973351,36,61,410336,1,1300,923
2023,202301,897335,2023000000297,365,2023008973351,36,61,410336,1,1300,923
2023,202301,897341,2023000000365,9,2023008973411,36,61,416536,1,7850,5576
2023,202301,897341,2023000000365,9,2023008973411,36,61,416536,1,7850,5576
2023,202301,897341,2023000000365,9,2023008973411,36,61,416536,1,7850,5576
2023,202301,897359,2023000000634,212,2023008973591,36,85,450136,1,800,568
2023,202301,897359,2023000000634,212,2023008973591,36,85,450136,1,800,568
2023,202301,897361,2023000000660,54,2023008973611,36,81,440936,1,1200,852
2023,202301,897365,2023000000685,58,2023008973651,36,81,440936,1,1520,1080
2023,202301,897373,2023000000795,105,2023008973731,36,5,420536,1,1350,959
2023,202301,897379,2023000000970,129,2023008973791,36,5,420436,1,220,156
2023,202301,897393,2023000001249,55,2023008973931,36,47,431736,1,1540,1094
2023,202301,897393,2023000001249,55,2023008973931,36,47,431736,1,1540,1094
2023,202301,897395,2023000001267,127,2023008973951,36,81,440436,1,1640,1165
2023,202301,897395,2023000001267,127,2023008973951,36,81,440436,1,1640,1165
2023,202301,897395,2023000001267,127,2023008973951,36,81,440436,1,1640,1165
2023,202301,897395,2023000001267,127,2023008973951,36,81,440436,1,1640,1165
2023,202301,897403,2023000001501,77,2023008974031,36,61,416536,1,3600,2557
2023,202301,897409,2023000001565,109,2023008974091,36,5,421136,1,1920,1364
2023,202301,897414,2023000001591,73,2023008974141,36,61,416536,1,3130,2223
2023,202301,897419,2023000001743,84,2023008974191,36,47,430436,1,1960,1392
2023,202301,897420,2023000001791,144,2023008974201,36,47,430736,1,4080,2898
2023,202301,897420,2023000001791,144,2023008974201,36,47,430736,1,4080,2898
2023,202301,897424,2023000001860,99,2023008974241,36,61,410836,1,2340,1662
